Corrected Date,Fleet,Vessel Name,Status,Report Type,VoyCondition,VoyageNo,Departure Date,Arrival Date,Berthing Date,CharterPartySpeed,CharterPartyCons,COSP Date,COSP Time,EOSP Date,EOSP Time,ETA,ETB,ETD,Date Berthed,Date Anchored,TOTAL STEAMING TIME,MILES BY GPS,Distance to Go,STW,SOG,Stoppages,DepPort,ArrivalPort,DRAFT FWD,DRAFT AFT,DRAFT,Displacement,WindForce,WindSpeed(kn),WindDirection,SEA STATE,Lattitude,Longitude,FUEL M E HS,FUEL M E LS,FUEL M E MGO HS,FUEL M E MDO,FUEL AUX HS,FUEL AUX LS,FUEL AUX MGO HS,FUEL AUX MDO,FUEL BOILER HS,FUEL BOILER LS,FUEL BOILER MGO HS,FUEL BOILER MDO,CONS MECC,CONS MECYL LOWBN,MECYLLube HighBN,CONS AECC,CONS_HYD,GeneratedFreshWater,ConsumedFreshWater,RPM,EngineDistance,SLIP,POWER kW,METhermalLoad(%),MELoadIndicator,METCNo1RPM,METCNo2RPM,MESCAVPressure(BAR),SCAVTEMP,ExhTempMin,ExhTempMax,LubeOilPressure(BAR),SW TEMP,EngRoomTemp,AUX1Load,AUX2Load,AUX3Load,AUX4Load,TotalAUXLoad,STEAMING.TIME.AUX.1,STEAMING.TIME.AUX.2,STEAMING.TIME.AUX.3,STEAMING.TIME.AUX.4,CARGO TOTAL,TOTAL Cargo Loaded, TOTAL Cargo Discharged,TOTAL CO2,FUEL HS,FUEL LS,FUEL MGO HS,FUEL MDO,Depart_Arrival,FO per 24Hrs,SFOC,SCOC,FUEL MGO LS,lat,long
01-09-16,4,A1,In Port,At Berth,LADEN,22,30-Jul-16,12-Aug-16,25-Aug-16,13.5,22,30-Jul-16,1936,12-Aug-16,2236,12-Aug-16,25-Aug-16,07-Sep-16,25-Aug-16,12-Aug-16,0,0,0,0,0,NIL,SINT EUSTATIUS,ANTONINA,7.23,7.37,7.3,11242.71,3,10,110,0,25-27.0S,048-41.0W,0,0,0,0,1.84,0,0,0,1.12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,-,0,0,0,0,0,15,25,0,330,0,-,330,0,24,0,-,10668.12,0,3834.29,9.48976,2.96,0,0,0,SINT EUSTATIUS-ANTONINA,0,0,0,0,-24.55,-47.31666667
02-09-16,4,A1,In Port,At Berth,LADEN,22,30-Jul-16,12-Aug-16,25-Aug-16,13.5,22,30-Jul-16,1936,12-Aug-16,2236,12-Aug-16,25-Aug-16,07-Sep-16,25-Aug-16,12-Aug-16,0,0,0,0,0,NIL,SINT EUSTATIUS,ANTONINA,6.39,6.5,6.45,8305.71,3,9,100,0,25-27.0S,048-41.0W,0,0,0,0,1.9,0,0,0,1.12,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,-,0,0,0,0,0,14,24,0,345,0,-,345,0,24,0,-,7730.73,0,2937.39,9.68212,3.02,0,0,0,SINT EUSTATIUS-ANTONINA,0,0,0,0,-24.55,-47.31666667
03-09-16,4,A1,In Port,At Berth,LADEN,22,30-Jul-16,12-Aug-16,25-Aug-16,13.5,22,30-Jul-16,1936,12-Aug-16,2236,12-Aug-16,25-Aug-16,07-Sep-16,25-Aug-16,12-Aug-16,0,0,0,0,0,NIL,SINT EUSTATIUS,ANTONINA,6.01,6.13,6.07,6472.72,1,1,0,0,25-27.0S,048-41.0W,0,0,0,0,1.88,0,0,0,1.17,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,-,0,0,0,0,0,14,24,0,365,365,-,365,0,6,19,-,5897.74,0,1832.99,9.7783,3.05,0,0,0,SINT EUSTATIUS-ANTONINA,0,0,0,0,-24.55,-47.31666667
04-09-16,4,A1,In Port,At Berth,LADEN,22,30-Jul-16,12-Aug-16,25-Aug-16,13.5,22,30-Jul-16,1936,12-Aug-16,2236,12-Aug-16,25-Aug-16,07-Sep-16,25-Aug-16,12-Aug-16,0,0,0,0,0,NIL,SINT EUSTATIUS,ANTONINA,6.01,6.13,6.07,6472.72,1,2,320,0,25-27.0S,048-41.0W,0,0,0,0,1.81,0,0,0,1.16,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,-,0,0,0,0,0,15,22,0,0,342,-,342,0,0,24,-,5897.74,0,0,9.52182,2.97,0,0,0,SINT EUSTATIUS-ANTONINA,0,0,0,0,-24.55,-47.31666667
05-09-16,4,A1,In Port,At Berth,LADEN,22,30-Jul-16,12-Aug-16,25-Aug-16,13.5,22,30-Jul-16,1936,12-Aug-16,2236,12-Aug-16,25-Aug-16,07-Sep-16,25-Aug-16,12-Aug-16,0,0,0,0,0,NIL,SINT EUSTATIUS,ANTONINA,6.01,6.13,6.07,4184.11,1,2,150,0,25-27.0S,048-41.0W,0,0,0,0,1.83,0,0,0,1.2,0,1.32,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,-,0,0,0,0,0,15,25,0,0,308,-,308,0,2,24,-,3609.13,0,2288.61,13.9461,3.03,0,1.32,0,SINT EUSTATIUS-ANTONINA,0,0,0,0,-24.55,-47.31666667
06-09-16,4,A1,In Port,At Berth,LADEN,22,30-Jul-16,12-Aug-16,25-Aug-16,13.5,22,30-Jul-16,1936,12-Aug-16,2236,12-Aug-16,25-Aug-16,07-Sep-16,25-Aug-16,12-Aug-16,0,0,0,0,0,NIL,SINT EUSTATIUS,ANTONINA,5.18,6.15,5.67,11894.56,1,2,90,0,25-27.0S,048-41.0W,0,0,0,0,1.94,0,0,0,1.23,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,-,0,0,0,0,0,14,25,0,323,0,-,323,0,24,4,-,1733.63,0,1875.5,10.16302,3.17,0,0,0,SINT EUSTATIUS-ANTONINA,0,0,0,0,-24.55,-47.31666667
07-09-16,4,A1,In Port,Noon at Anchor,LADEN,22,30-Jul-16,12-Aug-16,25-Aug-16,13.5,22,30-Jul-16,1936,12-Aug-16,2236,12-Aug-16,25-Aug-16,07-Sep-16,25-Aug-16,12-Aug-16,0,0,0,0,0,NIL,SINT EUSTATIUS,ANTONINA,4.84,6.01,5.43,23219.4,1,3,92,1,25-29.0S,048-27.0W,1.67,0,0,0,2.19,0,0,0,0.94,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,-,0,0,0,0,0,15,27,0,370,0,-,370,4,24,0,-,0,0,1733.63,15.23516,4.8,0,0,0,SINT EUSTATIUS-ANTONINA,0,0,0,0,-24.51666667,-47.55
07-09-16,4,A1,In Port,Departure Berth,LADEN,22,30-Jul-16,12-Aug-16,25-Aug-16,13.5,22,30-Jul-16,1936,12-Aug-16,2236,12-Aug-16,25-Aug-16,07-Sep-16,25-Aug-16,12-Aug-16,0,0,0,0,0,NIL,ANTONINA,RECALADA P/S,4.51,6.53,5.52,24114.3,5,18,180,4,25-29.0S,048-27.0W,0,0,0,0,0.8,0,0,0,0.49,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-,0,0,0,0,0,15,27,0,370,0,-,370,4,24,0,-,0,0,0,4.13574,1.29,0,0,0,ANTONINA-RECALADA P/S,0,0,0,0,-24.51666667,-47.55
07-09-16,4,A1,In Port,COSP,BALLAST,23,07-Sep-16,10-Sep-16,11-Sep-16,13.5,22,07-Sep-16,2330,-,-,10-Sep-16,11-Sep-16,19-Sep-16,-,-,0,0,0,0,0,NIL,ANTONINA,RECALADA P/S,4.51,6.53,5.52,24114.3,5,18,180,4,25-39.0S,048-10.0W,0.47,0,0,0,0.2,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,-,0,0,0,0,0,15,27,0,323,0,-,323,0,24,0,-,0,0,0,2.10478,0.67,0,0,0,ANTONINA-RECALADA P/S,0,0,0,0,-24.35,-47.83333333
08-09-16,4,A1,At Sea,Noon at sea,BALLAST,23,07-Sep-16,10-Sep-16,11-Sep-16,13.5,22,07-Sep-16,2330,-,-,10-Sep-16,11-Sep-16,19-Sep-16,-,-,12.5,157,740,12.4,12.56,NIL,ANTONINA,RECALADA P/S,4.51,6.45,5.48,24114.3,6,23,200,6,27-24.0S,046-43.0W,11.26,0,0,0,1.26,0,0,0,0,0,0.8,0,0,0,0,100,0,4,5,89.2,157.2,10.4,4425,76,97,16695,-,1.7,46,395,420,2.5,15,27,348,0,351,-,699,16,7,13,-,0,0,0,41.668,12.52,0,0.8,0,ANTONINA-RECALADA P/S,21.6192,203.5706215,0,0,-26.6,-45.28333333
