Type,Corrected Date,Fleet,Vessel Name,Status,Report Type,VoyCondition,VoyageNo,TOTAL STEAMING TIME,MILES BY GPS,FUEL M E HS,FUEL M E LS,FUEL M E MGO HS,FUEL M E MGO LS,FUEL M E MDO,FUEL AUX HS,FUEL AUX LS,FUEL AUX MGO HS,FUEL AUX MGO LS,FUEL AUX MDO,FUEL BOILER HS,FUEL BOILER LS,FUEL BOILER MGO HS,FUEL BOILER MGO LS,FUEL BOILER MDO,POWER kW,CARGO TOTAL,TOTAL CO2,FUEL HS,FUEL LS,FUEL MGO HS,FUEL MGO LS,FUEL MDO,Depart_Arrival,CARGO TOTAL TEU,DepPort,ArrivalPort,DepEU,ArrivalEU,EU,TOTALFO,FillHS,FillLS,FillMDO,FillMGO,FillMGOLS,ROB Fuel HSFO ,ROB Fuel LSFO ,ROB Fuel MDO,ROB Fuel MGO,ROB Fuel MGO LS,Transport Work T,EEOI,Transport Work TEU,EEOIT
Bulker,11-05-17,4,B1,In Port,COSP,LADEN,32,0,0,0,0,6.11,0,0,0,0,0.98,0,0,0,0,0,0,0,0,29606.482,22.73054,0,0,7.09,0,0,US MSY-IL HFA,0,US MSY,IL HFA,N,N,N,7.09,0,0,0,0,0,0,0,0,0,0,,,,
Bulker,12-05-17,4,B1,At Sea,Noon at sea,LADEN,32,16,203,0.08,0,12.07,0,0,0.02,0,1.65,0,0,0,0,0,0,0,4292.1,29606.482,44.29956,0.1,0,13.72,0,0,US MSY-IL HFA,0,US MSY,IL HFA,N,N,N,13.82,0,0,0,0,0,0,0,0,0,0,,,,
Bulker,13-05-17,4,B1,At Sea,Noon at sea,LADEN,32,24,319,19.25,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,4395,29606.482,66.9977,21.45,0,0,0,0,US MSY-IL HFA,0,US MSY,IL HFA,N,N,N,21.45,0,0,0,0,0,0,0,0,0,0,,,,
Bulker,14-05-17,4,B1,At Sea,Noon at sea,LADEN,32,24,364,19.19,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,4380,29606.482,66.42614,21.27,0,0,0,0,US MSY-IL HFA,0,US MSY,IL HFA,N,N,N,21.27,0,0,0,0,0,0,0,0,0,0,,,,
Bulker,15-05-17,4,B1,At Sea,Noon at sea,LADEN,32,24,323,19.28,0,0,0,0,2.39,0,0,0,0,0,0,0,0,0,4366,29606.482,67.70026,21.67,0,0,0,0,US MSY-IL HFA,0,US MSY,IL HFA,N,N,N,21.67,0,0,0,0,0,0,0,0,0,0,,,,
Bulker,16-05-17,4,B1,At Sea,Noon at sea,LADEN,32,23,298,18.53,0,0,0,0,2.06,0,0,0,0,0,0,0,0,0,4380,29606.482,64.125496,20.59,0,0,0,0,US MSY-IL HFA,0,US MSY,IL HFA,N,N,N,20.59,0,0,0,0,0,0,0,0,0,0,8822731.636,7.268213366,0,0
Bulker,17-05-17,4,B1,At Sea,Noon at sea,LADEN,32,24,306,19.21,0,0,0,0,2.12,0,0,0,0,0,0,0,0,0,4321,29606.482,66.430152,21.33,0,0,0,0,US MSY-IL HFA,0,US MSY,IL HFA,N,N,N,21.33,0,0,0,0,0,0,0,0,0,0,9059583.492,7.332583453,0,0
Bulker,18-05-17,4,B1,At Sea,Noon at sea,LADEN,32,23,293,18.45,0,0,0,0,2.03,0,0,0,0,0,0,0,0,0,4366,29606.482,63.782912,20.48,0,0,0,0,US MSY-IL HFA,0,US MSY,IL HFA,N,N,N,20.48,0,0,0,0,0,0,0,0,0,0,8674699.226,7.35275199,0,0
Bulker,19-05-17,4,B1,At Sea,Noon at sea,LADEN,32,24,322,18.91,0,0,0,0,2.08,0,0,0,0,0,0,0,0,0,4292,29606.482,65.371256,20.99,0,0,0,0,US MSY-IL HFA,0,US MSY,IL HFA,N,N,N,20.99,0,0,0,0,0,0,0,0,0,0,9533287.204,6.857157935,0,0
Bulker,20-05-17,4,B1,At Sea,Noon at sea,LADEN,32,23,307,18.44,0,0,0,0,2.05,0,0,0,0,0,0,0,0,0,4380,29606.482,63.814056,20.49,0,0,0,0,US MSY-IL HFA,0,US MSY,IL HFA,N,N,N,20.49,0,0,0,0,0,0,0,0,0,0,9089189.974,7.020873827,0,0
